text_id	sequence_number	word_id	phonetic_transcription	word_form	morphs	gloss	session_id	session_name	sequence_number_text	start_time	end_time	person_id	person_code	text	phonetic_transcription_text	morphs_text	gloss_text	english_translation_text	indonesian_translation	comments	data_set_id	data_set_name	date	location	region	latitude	longitude	genre	subgenre	mode	elicited_or_natural	situation	duration	record_count	word_count	classification	project_id	project_name	description	session_count	primary_or_secondary	n_languoid_id	n_languoid_name	languoid_name_new
139900104901270400	10	10040410312745654e7	snaŋ	senang	senang	happy	1351	MLP-070308-FIT	332	0:13:41	NA	973	FTRMLP	oh iyo sudah baru ko crita ka ko paling senang tu bikin apa	o iyo suda baru ko critra ka ko paliŋ snaŋ tu bikin apa	oh iyo sudah baru ko crita ka ko paling senang tu bikin apa	oh yes PFCT new 2SG story KA 2SG most happy that make what	oh...tell me what do you really like to do?	NA	NA	14	Papuan Malay	2007-03-08	Papua	Papua	NA	NA	NA	NA	Spoken	Natural	the small talk occurs in a state elementary school of Amban	0:18:16	400	2227	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	24	Papuan Malay	A corpus of naturalistic speech from Papuan Malay.	9	Primary	1	1	Papuan Malay
992625105341050400	8	10040410312745654e7	senaŋ	senang	senang	happy	1347	MLP-070211-NAN	446	0:22:49	NA	2806	SRMLP	pokoknya pelajaran apa saja itu kalo ana-ana senang ikut baru ikut.	pokoɲap pelajaran apa saja itu kalo anana senaŋ ikut baru ikut	pokok -nya pelajar -an apa saja i- tu kalo ana ~ ana senang ikut baru ikut	main -NYA student -AN what just I- that TOP child ~ child happy follow new follow	whatever the lesson, if we like it, we will attend the class	NA	NA	14	Papuan Malay	2007-02-11	Papua	Papua	NA	NA	NA	NA	Spoken	Natural	small talk in class room	0:41:15	751	4938	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	24	Papuan Malay	A corpus of naturalistic speech from Papuan Malay.	9	Primary	1	1	Papuan Malay
437010215649110500	6	10040409454888868e7	giraŋ	girang	girang	happy	2449	TNG-050802	549	0:11:24	NA	2447	RISTNG	kasi... kasi peqgo juga dia girang banget.	kasiʰ kasi pɛʔgo juga dya giraŋ baŋət	kasi kasi peqgo juga dia girang banget	give give one.hundred.fifty also 3 happy very	give... just give him a hundred fifty, and he would be very happy.	NA	=a hundred and fifty thousand rupiahs. recheck the gloss.	62	Cina Benteng Malay	2002-08-05	Tangerang	Banten	NA	NA	NA	NA	Spoken	Natural	"1. talking at MAR’s living room. 2. First, they’re talking about farming. 3. Then, they’re talking about fishing. 3. After that they’re talking about poultry breeding. 4. Moreover, they’re also talking about other things such as humors, the ""basò alus"" or the ""basò kulò nggé"" used by children talking to adults, ""pantun"", a kind of traditional poetry and Mariana’s family."	0:11:30	570	2250	Other Western Varieties of Indonesian (Bandung, Tanggerang Chinese Malay, Padang)	18	Malayic Languages of Java	NA	3	Primary	1	1	Tangerang Chinese Malay
366002101303290300	5	1004040945254441e8	gembira	gembira	gembira	happy	2033	PDG-20070131-SAN	1154	0:45:05	NA	1328	JULSAN	ya ado lah raso gembira nyo kan.	ya ʔado lah raso gembira ɲo kan	ya ado lah raso gembira nyo kan	yes exist LAH feel happy 3 KAN	NA	ada rasa gembiranya.	NA	48	Minangkabau	2007-01-31	Padang	West Sumatra	-0.955445	100.357958	Conversation	NA	Spoken	Natural	percakapan terjadi di rumah membicarakan tentang kehidupan Rajiah.	0:45:48	1174	6661	Minangkabau (various dialects)	19	Malayic Languages of Sumatra	NA	175	Primary	1	1	Minangkabau, Maninjau
615574115812200600	2	10040409454888868e7	giraŋ	girang	girang	happy	1539	BTW-010307	2696	1:03:15	NA	991	GENBTW	saya girang banget ini xx... didatengin jugaq.	sa giraŋ baːŋət ʔini dit̩m didatəŋin jugaːʔ	saya girang banget ini xx di- dateng -in juga	1SG happy very this xx DI- come -IN also	I’m so happy... that xx... you visit me.	NA	NA	19	Jakarta	2007-03-01	Jakarta	Jakarta	-6.209199	106.833797	NA	NA	Spoken	Natural	visiting Geno's house, chatting with some of Geno's family members in front of her house. Geno's talking about her experience when making a pilgrimage trip to Mecca, Roji' talking about Betawi language and the village where they're living, Setu Babakan, and Seli's talking about his job.	1:03:35	2720	9630	Jakarta Indonesian	9	Jakarta Indonesian	Betawi is the indigenous Malay dialect of Jakarta. The speakers were formed from the mixing of ethnicities coming to Jakarta during Dutch colonial times. The inflows were adequately gradual to let the constant stream of immigrants be absorbed into a distinct ethnic group. This ethnic group speaks with their own dialect called Betawi Malay which is different from other dialects of Malay. Nowadays it is only spoken by older people in certain villages on the outskirts of the city. The younger generation tends to speak Jakarta Indonesian.  The project was started in June 2004. There have been twelve recordings which are collected randomly from the speakers who live or have lived in some regions in Jakarta. The regions are Kampung Melayu, Pasar Rebo, Pondok Gede, Ulujami, and Jagakarsa. Most of the regions, except Kampung Melayu, are situated on the outskirts of Jakarta. Pasar Rebo is situated at the very southeast edge of Jakarta, bordering Bogor, West Java. Pondok Gede is also situated at the very southeast edge of Jakarta, bordering Bekasi and Bogor, West Java. Ulujami is situated in South Jakarta, bordering Banten, West Java and Jagakarsa is situated in South Jakarta, bordering Depok, West Java. There are around fifteen native speakers from the total recordings, the speakers are above thirty years old. They still speak with a deep Betawi accent. The rest of the speakers are from younger generation and other ethnicities. For future plan, more recordings will be done with the native speakers from other areas of Jakarta.	48	Primary	1	1	Jakarta Indonesian
196253084824301e3	6	10040409454888868e7	giraŋ	girang	girang	happy	1534	BTJ-240607	856	0:28:03	NA	435	BTJBET	énak déh tuq punyaq tana, girang.	ʔenak de tuʔ puɲaʔ tana giraŋ	énak déh tu punya tana girang	pleasant DEH that have soil happy	I was so happy to have land.	NA	NA	19	Jakarta	2007-06-24	Jakarta	Jakarta	-6.209199	106.833797	Conversation	NA	Spoken	Natural	chatting at BTJBET's house	0:34:30	1076	3990	Jakarta Indonesian	9	Jakarta Indonesian	Betawi is the indigenous Malay dialect of Jakarta. The speakers were formed from the mixing of ethnicities coming to Jakarta during Dutch colonial times. The inflows were adequately gradual to let the constant stream of immigrants be absorbed into a distinct ethnic group. This ethnic group speaks with their own dialect called Betawi Malay which is different from other dialects of Malay. Nowadays it is only spoken by older people in certain villages on the outskirts of the city. The younger generation tends to speak Jakarta Indonesian.  The project was started in June 2004. There have been twelve recordings which are collected randomly from the speakers who live or have lived in some regions in Jakarta. The regions are Kampung Melayu, Pasar Rebo, Pondok Gede, Ulujami, and Jagakarsa. Most of the regions, except Kampung Melayu, are situated on the outskirts of Jakarta. Pasar Rebo is situated at the very southeast edge of Jakarta, bordering Bogor, West Java. Pondok Gede is also situated at the very southeast edge of Jakarta, bordering Bekasi and Bogor, West Java. Ulujami is situated in South Jakarta, bordering Banten, West Java and Jagakarsa is situated in South Jakarta, bordering Depok, West Java. There are around fifteen native speakers from the total recordings, the speakers are above thirty years old. They still speak with a deep Betawi accent. The rest of the speakers are from younger generation and other ethnicities. For future plan, more recordings will be done with the native speakers from other areas of Jakarta.	48	Primary	1	1	Jakarta Indonesian
830690144011140700	4	10040409454888868e7	giraŋ	girang	girang	happy	1542	BTW-040606	1135	0:26:22	NA	270	ASNBTW	ngga, ngga pa-pa, girang saya, biar tauq kemari.	ŋkaːʔ ŋga papah giraŋ sayah biyar tau kəmariːʰ	ngga ngga pa ~ pa girang saya biar tau ke- mari	NEG NEG what ~ what happy 1SG let know KE- MARI	no, it’s okay, I’m so happy, so that you know this place.	NA	NA	19	Jakarta	2006-06-04	Jakarta	Jakarta	-6.209199	106.833797	NA	NA	Spoken	Natural	EXPOKK and DEWBTW are visiting ASNBTW's house, happened in the afternoon.	0:27:09	1186	4722	Jakarta Indonesian	9	Jakarta Indonesian	Betawi is the indigenous Malay dialect of Jakarta. The speakers were formed from the mixing of ethnicities coming to Jakarta during Dutch colonial times. The inflows were adequately gradual to let the constant stream of immigrants be absorbed into a distinct ethnic group. This ethnic group speaks with their own dialect called Betawi Malay which is different from other dialects of Malay. Nowadays it is only spoken by older people in certain villages on the outskirts of the city. The younger generation tends to speak Jakarta Indonesian.  The project was started in June 2004. There have been twelve recordings which are collected randomly from the speakers who live or have lived in some regions in Jakarta. The regions are Kampung Melayu, Pasar Rebo, Pondok Gede, Ulujami, and Jagakarsa. Most of the regions, except Kampung Melayu, are situated on the outskirts of Jakarta. Pasar Rebo is situated at the very southeast edge of Jakarta, bordering Bogor, West Java. Pondok Gede is also situated at the very southeast edge of Jakarta, bordering Bekasi and Bogor, West Java. Ulujami is situated in South Jakarta, bordering Banten, West Java and Jagakarsa is situated in South Jakarta, bordering Depok, West Java. There are around fifteen native speakers from the total recordings, the speakers are above thirty years old. They still speak with a deep Betawi accent. The rest of the speakers are from younger generation and other ethnicities. For future plan, more recordings will be done with the native speakers from other areas of Jakarta.	48	Primary	1	1	Jakarta Indonesian
553551103911220740	6	10040409454888868e7	giraŋ	girang	girang	happy	1547	BTW-230604	239	0:08:10	NA	3055	UDIBTW	tujuh belasan dulu ngarak ondél-ondél, girang bangat.	tuju bəlasan duluʔ ŋarak ʔɔndɛlʔɔndɛl giraŋ baŋat	tujuh belas -an dulu ng- arak ondél.ondél girang bangat	seven teen -AN before N- procession giant.puppet happy very	we were carrying giant puppet in the parade on the seventeeth, we were so happy.	NA	referring to the celebration of Indonesian independence day on seventeenth of August.	19	Jakarta	2004-06-23	Jakarta	Jakarta	-6.209199	106.833797	NA	NA	Spoken	Natural	sitting in UDIBTW's living room.	0:19:05	523	2736	Jakarta Indonesian	9	Jakarta Indonesian	Betawi is the indigenous Malay dialect of Jakarta. The speakers were formed from the mixing of ethnicities coming to Jakarta during Dutch colonial times. The inflows were adequately gradual to let the constant stream of immigrants be absorbed into a distinct ethnic group. This ethnic group speaks with their own dialect called Betawi Malay which is different from other dialects of Malay. Nowadays it is only spoken by older people in certain villages on the outskirts of the city. The younger generation tends to speak Jakarta Indonesian.  The project was started in June 2004. There have been twelve recordings which are collected randomly from the speakers who live or have lived in some regions in Jakarta. The regions are Kampung Melayu, Pasar Rebo, Pondok Gede, Ulujami, and Jagakarsa. Most of the regions, except Kampung Melayu, are situated on the outskirts of Jakarta. Pasar Rebo is situated at the very southeast edge of Jakarta, bordering Bogor, West Java. Pondok Gede is also situated at the very southeast edge of Jakarta, bordering Bekasi and Bogor, West Java. Ulujami is situated in South Jakarta, bordering Banten, West Java and Jagakarsa is situated in South Jakarta, bordering Depok, West Java. There are around fifteen native speakers from the total recordings, the speakers are above thirty years old. They still speak with a deep Betawi accent. The rest of the speakers are from younger generation and other ethnicities. For future plan, more recordings will be done with the native speakers from other areas of Jakarta.	48	Primary	1	1	Jakarta Indonesian
907309133204170200	10	1.0040409361328727e+23	hɛpi	happy	happy	happy	2445	SD-120702	1021	0:31:05	NA	876	EXPLAN	tau-tau pagi... sore-sore pulang, jam delapan malem, lagi nyanyi-nyanyi, ‘happy birthday...’	tautau pagi sɔrɛsɔrɛ pulaŋ jam dəlapan maləm lagi ɲaɲiaɲi hɛpi bətdɛy	tau ~ tau pagi sore ~ sore pulang jam delapan malem lagi nyanyi ~ nyanyi happy birthday	know ~ know morning late.afternoon ~ late.afternoon return clock eight night more sing ~ sing happy birthday	suddenly, in the morning... afternoon, when you go home, at eight, people are singing, ‘happy birthday...’	NA	imagining the condition when FRA forgets to buy the lolly pops for his birthday nieces or nephews.	61	Bandung Indonesian	2002-07-12	Bandung	West Java	NA	NA	NA	NA	Spoken	Natural	talking in the living room of VIVSD’s home.	0:31:28	1036	4800	Other Western Varieties of Indonesian (Bandung, Tanggerang Chinese Malay, Padang)	18	Malayic Languages of Java	Bandung is Indonesia's second largest city, but is also the capital of Priangan, the Sundanese speaking region of western Java. Practically all of its ethnic Sundanese inhabitants, as well as many members of the Chinese community and other long-term migrants, are bilingual in Sundanese and Indonesian. This has brought about a strong Sundanese influence on the variety of Indonesian spoken in the city. This variety seems to be closely related to Jakarta Indonesian, which also has significant Sundanese influence, but this influence is naturally much stronger in Bandung, and extends to the phonology, morphology, and syntax, as well as the lexicon.	4	Primary	1	1	Bandung Indonesian
356036113035141200	1	10040409552852027e7	bahagiya	bahagia	bahagia	happy	2053	PDG-20071001-SANb	466	0:27:09	NA	2563	SAFSAN	bahagia di dunia.	bahagiya di duniya	bahagia di dunia	happy LOC world	NA	bahagia di dunia.	NA	48	Minangkabau	2007-01-10	Padang	West Sumatra	-0.955445	100.357958	Conversation	NA	Spoken	Natural	Percakapan dilakukan di rumah Syafril Chatib yang merupakan pensiunan wakil walikota Solok. Speaker membicarakan tentang sejarah Minangkabau.	0:52:44	1015	6732	Minangkabau (various dialects)	19	Malayic Languages of Sumatra	NA	175	Primary	1	1	Minangkabau, Padang
