session_id	session_name	data_set_id	data_set_name	date	location	region	latitude	longitude	genre	subgenre	mode	elicited_or_natural	situation	duration	record_count	word_count	classification	project_id	project_name	description	session_count	primary_or_secondary	n_languoid_id	n_languoid_name	languoid_name_new
1240	KOE-20080410-MIS	12	Middle Indonesia - Kupang	2008-04-10	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the classroom; talking about electricity.	0:26:38	1143	4290	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1241	KOE-20080411-HIL-a	12	Middle Indonesia - Kupang	2008-04-11	Kupang	East Nusa Tenggara	-10.16082	123.600001	NA	NA	Spoken	Natural	Percakapan tentang pengalaman di rumah Ibu Hilda Nalley, kel. Solor Kupang, jam 1 siang	0:16:36	574	2897	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1242	KOE-20080411-HIL-b	12	Middle Indonesia - Kupang	2008-04-11	Kupang	East Nusa Tenggara	-10.16082	123.600001	NA	NA	Spoken	Natural	Percakapan lanjutan tentang pengalaman sebagai mahasiswa di rumah Ibu Hilda Kel. Solor. Kupang -NTT pada sekitar jam 3 sore.	0:25:56	916	4397	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1243	KOE-20080412-BOB	12	Middle Indonesia - Kupang	2008-04-12	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the classroom ; talking about Mr. Imo experience .	0:38:15	1014	3925	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1244	KOE-20080413-IMO	12	Middle Indonesia - Kupang	2008-04-13	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the classroom; talking about weekend and tradition or culture in Timor .	0:38:34	1056	4839	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1245	KOE-20080511-JON	12	Middle Indonesia - Kupang	2008-05-11	Kupang	East Nusa Tenggara	-10.16082	123.600001	NA	NA	Spoken	Natural	Practice reading Kupang Malay. the texts is “Tapaleuk”  article from Kupang Post News Paper. The recording was made at AI Language and Culture Center.	0:35:34	1005	5032	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1246	KOE-20080522-IMO	12	Middle Indonesia - Kupang	2008-05-22	Kupang	East Nusa Tenggara	-10.16082	123.600001	NA	NA	Spoken	Natural	NA	0:31:31	744	5354	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1247	KOE-20080522-JON	12	Middle Indonesia - Kupang	2008-05-22	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in front of Agaape Indah; talking about footbal.	0:34:54	1149	5881	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1248	KOE-20080524-HIL	12	Middle Indonesia - Kupang	2008-05-24	Kupang	East Nusa Tenggara	-10.16082	123.600001	NA	NA	Spoken	Natural	percakapan tentang pemilihan umum tingkat propinsi di rumah Bapak Djidon de Haan sekitar jam 6 sore.	0:32:04	742	4278	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1249	KOE-20080525-HIL	12	Middle Indonesia - Kupang	2008-05-25	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the living room; talking about selfish, family and the electin of governor	0:37:56	1004	5504	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1250	KOE-20080526-BOB	12	Middle Indonesia - Kupang	2008-05-26	Kupang	East Nusa Tenggara	-10.16082	123.600001	NA	NA	Spoken	Natural	Percakapan dilakukan di rumah bapak Yorhan Nome. Oesapa Kupang	0:35:22	1063	4643	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1251	KOE-20080613-BOB	12	Middle Indonesia - Kupang	2008-06-13	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the family room; talking about Dai's job.	0:31:19	922	4510	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1252	KOE-20080615-BOB	12	Middle Indonesia - Kupang	2008-06-15	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the veranda; talking about footbal, about their experience, and about school.	0:37:44	1332	5706	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1253	KOE-20080620-IMO	12	Middle Indonesia - Kupang	2008-06-20	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the garden; talking about vegetables garden	0:38:50	1065	5889	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1254	KOE-20080627-BOB	12	Middle Indonesia - Kupang	2008-06-29	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the classroom; talking about public transportation, fashion and party .	0:41:52	1193	6087	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1255	KOE-20080628-ELS	12	Middle Indonesia - Kupang	2008-02-28	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the Nita's room; talking about birthday and television programme.	0:37:53	1187	5593	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1256	KOE-20080702-IMO	12	Middle Indonesia - Kupang	2008-07-02	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the boarding house in Oesapa; talking about	0:44:02	1305	6524	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1257	KOE-20080709-ELS	12	Middle Indonesia - Kupang	2008-07-09	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the Geesty home; talking about planing to the new school.	0:30:38	1391	6073	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1258	KOE-20080726-IMO	12	Middle Indonesia - Kupang	2008-07-26	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the Harija Home; talking about Harija experience in Malaysia.	0:52:41	1490	6643	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1259	KOE-20080727-ELS	12	Middle Indonesia - Kupang	2008-07-27	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the classroom Abdi Kasi Bangsa school; talking about  school curriculum.	0:39:07	1635	6236	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1260	KOE-20080729-BOB	12	Middle Indonesia - Kupang	2008-07-29	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the garage; talking about car, passenger, and their experience   .	0:35:40	1015	4392	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1261	KOE-20080804-HIL	12	Middle Indonesia - Kupang	2008-08-04	Naikoten, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a conversation at Ganesha English Course about study experience	0:34:17	1531	7865	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1262	KOE-20080807-HIL	12	Middle Indonesia - Kupang	2008-07-08	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the Mrs. Hilda home; talking about future.	0:30:37	1145	6905	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1263	KOE-20080810-BOB	12	Middle Indonesia - Kupang	2008-08-10	Kupang	East Nusa Tenggara	-10.16082	123.600001	conversation	NA	Spoken	Natural	Having conversation in Detainee Imigration Office about exhibition of Alorese magic	0:59:53	1765	9547	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1264	KOE-20080813-IMO	12	Middle Indonesia - Kupang	2008-08-13	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	having a conversation in the Mr. Imo Home; talking about accident.	0:56:13	1662	8312	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1265	KOE-20080825-ELS	12	Middle Indonesia - Kupang	2008-08-25	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	NA	Spoken	Natural	Having conversation about the speakers' future after their graduation at John Haan's house	0:39:05	1359	6088	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1266	KOE-20080918-ELS	12	Middle Indonesia - Kupang	2008-09-18	John Haan's house, Oebufu, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a conversation at John Haan's house, talking about speakers' first experience of using escalator in the supermarket	0:49:59	2178	10176	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1267	KOE-20080930-BOB	12	Middle Indonesia - Kupang	2008-09-30	Kupang	East Nusa Tenggara	-10.16082	123.600001	Conversation	Other	Spoken	Natural	having a conversation about the speakers's plan on Lebaran Holiday	0:33:54	993	4428	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1268	KOE-20080930-HIL	12	Middle Indonesia - Kupang	2008-09-30	Kupang	East Nusa Tenggara	-10.16082	123.600001	conversation	NA	Spoken	Natural	Having conversation about the speakers family background	0:35:42	925	5546	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1269	KOE-20081015-HIL	12	Middle Indonesia - Kupang	2008-10-15	Undana Campus, Penfui, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a conversation in Undana Campus about the international sailing festival	0:34:56	916	6617	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1270	KOE-20081030-BOB	12	Middle Indonesia - Kupang	2008-10-30	Undana Campus, Penfui, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a conversation in Undana Campus, talking about football competition in the campus	0:30:47	1482	6068	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1271	KOE-20081111-IMO	12	Middle Indonesia - Kupang	2008-11-11	Oesapa, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a coversation in Nita's house, talking about the speakers' daily activity	0:52:17	1656	7636	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1272	KOE-20081205-ELS	12	Middle Indonesia - Kupang	2008-05-12	Oebufu, Kupang	East Nusa Tenggara	NA	NA	Conversation	NA	Spoken	Natural	having a conversation John Haan's house about polygamy system in America, which was performed by Metro TV	0:29:31	983	4645	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1273	KOE-20081206-BOB	12	Middle Indonesia - Kupang	2008-06-12	Liliba, Kupang	East Nusa Tenggara	NA	NA	Conversation	NA	Spoken	Natural	The record was taken place in the respondent's house, talking about Christmas and New Year's moments, their teaching training process, and experience during the Sail Indonesia World Yacht Race.	0:35:07	752	5321	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1274	KOE-20081207-HIL	12	Middle Indonesia - Kupang	2008-07-12	Oebobo, Kupang	East Nusa Tenggara	NA	NA	Conversation	NA	Spoken	Natural	having a conversation at Elis' house, talking about picnic in Tablolong Beach	0:30:41	887	5621	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1275	KOE-20081208-IMO	12	Middle Indonesia - Kupang	2008-12-08	Oebufu, Kupang	East Nusa Tenggara	NA	NA	Conversation	NA	Spoken	Natural	Having a conversation at Mr. Haan's house, talking about many things dealing with their studying experiences	0:31:22	787	3304	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1276	KOE-20081217-ELS	12	Middle Indonesia - Kupang	2008-12-17	Oebufu, Kupang	East Nusa Tenggara	NA	NA	Conversation	NA	Spoken	Natural	having a conversation in a room of Agape Indah English Course, about the planning of studying at university	0:32:45	1404	5107	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1277	KOE-20090107-HIL	12	Middle Indonesia - Kupang	2009-01-07	Bonipoi, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a conversation at Hida's home, taking about their life experience.	0:30:10	629	4234	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1278	KOE-20090110-BOB	12	Middle Indonesia - Kupang	2009-01-10	Liliba, Kupang	East Nusa Tenggara	NA	NA	Conversation	NA	Spoken	Natural	The recording was taken at the street in campus of UNDANA. The participant s are best friends since high school who are now in the same college. They are talking about what happened at Christmas, issues at the campus, about relationship and men.	0:40:48	1159	8378	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1279	KOE-20090115-ELS	12	Middle Indonesia - Kupang	2009-01-15	Naikolan, Kupang	East Nusa Tenggara	NA	NA	Conversation	"""Other"""	Spoken	Natural	having a conversation in Adipapa's room, talking about the natural tourism in Kupang and the surround.	0:42:45	1573	8939	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1280	KOE-20090124-EFI	12	Middle Indonesia - Kupang	2009-01-24	Penfui, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a conversation at the campus of English Department, University of Nusa Cendana Kupang, talking about one of the speaker's mobile phone which is in trouble, their study, dating, etc.	0:28:33	947	5193	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1281	KOE-20090125-EFI	12	Middle Indonesia - Kupang	2009-01-25	Airnona, Kupang	East Nusa Tenggara	NA	NA	Conversation	"""Other"""	Spoken	Natural	having a conversation in the participants' house, taking about things to do on holiday and many other things.	0:32:41	996	6099	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1282	KOE-20090309-HIL	12	Middle Indonesia - Kupang	2009-03-09	Bonipoi, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a conversation at Hida's home, taking about their life experience.	0:39:23	1048	6364	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1283	KOE-20090730-JER	12	Middle Indonesia - Kupang	2009-07-30	Tuak Daun Merah, Kupang, NTT	East Nusa Tenggara	NA	NA	Conversation	"""Other"""	Spoken	Natural	having a conversation at Bona's house, talking about their experience and social situation in Kupang.	0:42:58	1032	5767	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1284	KOE-20090802-JER	12	Middle Indonesia - Kupang	2009-08-02	Labat, Kupang	East Nusa Tenggara	NA	NA	Conversation	NA	Spoken	Natural	having a conversation at Osias' house, talking about his daughter's going to university.	0:39:15	1058	5005	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1285	KOE-20090913-JER	12	Middle Indonesia - Kupang	2009-09-13	Kelapa Lima, Kupang	East Nusa Tenggara	NA	NA	Narrative	Personal	Spoken	Natural	Having a conversation in Mrs. Naben's house, talking about their work and life.	0:30:29	910	3796	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1286	KOE-20110321-JER	12	Middle Indonesia - Kupang	2011-03-21	Airmata, Kupang	East Nusa Tenggara	NA	NA	Conversation	Other	Spoken	Natural	having a conversation in Mrs. Siti's house in Airmata village. The house is near the main road in the village, so it is crowded	0:14:33.22	413	1586	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1287	KOE-20110402a-JER	12	Middle Indonesia - Kupang	2011-04-02	Airmata, Kupang	East Nusa Tenggara	NA	NA	Narrative	Personal	Spoken	Natural	Having conversation in Mrs. Nur's house in Airmata village, talking about her experience when the first time she came to Kupang to enroll in university	0:08:02.89	159	810	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1288	KOE-20110402b-JER	12	Middle Indonesia - Kupang	2011-04-02	Airmata, Kupang	East Nusa Tenggara	NA	NA	Narrative	Personal	Spoken	Natural	Having conversation in Novita's house in Airmata Village.	0:10:40.47	368	1310	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1289	KOE-20110403-JER	12	Middle Indonesia - Kupang	2011-03-04	Kelurahan Fatufeto	East Nusa Tenggara	NA	NA	Conversation	Personal	Spoken	Natural	Having conversation in Dominggus' house in Fatufeto Village. There are many people in the house, so it is very noisy.	0:54:26.616	2068	7756	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
1290	KOE-20110712-JER	12	Middle Indonesia - Kupang	2011-12-07	Oesapa Barat	East Nusa Tenggara	NA	NA	Conversation	Personal	Spoken	Natural	Having a conversation in Mrs. Elim's office, while she eats choclate, in West Oesapa Village. The office is near her house, so some kids are play near the office.	0:30:14.45	816	2706	Eastern Varieties of Indonesian (Kupang Malay, Ternate Malay, Papua Malay)	22	Middle Indonesia Project	NA	66	Primary	1	1	Kupang Malay
